Household_Size,Daily_Meal_Count,Meal_Type,Shopping_Habit,Storage_Availability,Awareness_of_Waste_Management,Leftovers_Frequency,Income_Range,Cooking_Preference,Cultural_Cuisine_Preference,Perishability_Awareness,Seasonal_Variation,Weekly_Food_Waste_kg
1,2,Mixed,Bulk Buying,Medium,Medium,Sometimes,Medium,Reheated,South Indian,Somewhat aware,All year,2.35
6,3,Vegetarian,Weekly,Large,Low,Never,Medium,Fresh Daily,Chinese,Not aware,Monsoon,3.21
6,4,Mixed,Weekly,Large,Medium,Never,Low,Reheated,Chinese,Aware,Winter,2.65
1,2,Vegetarian,Daily,Medium,Low,Often,High,Fresh Daily,South Indian,Not aware,Summer,2.27
5,2,Mixed,Daily,Large,Low,Often,Low,Batch Cooking,Indian,Not aware,All year,3.73
1,1,Mixed,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Street Food,Somewhat aware,Monsoon,1.01
5,2,Non-Vegetarian,Daily,Large,Medium,Never,High,Batch Cooking,Italian,Not aware,All year,2.66
1,1,Non-Vegetarian,Weekly,Medium,Medium,Never,High,Fresh Daily,Italian,Somewhat aware,Summer,1.74
3,1,Mixed,Weekly,Large,High,Often,Low,Fresh Daily,North Indian,Somewhat aware,All year,1.14
4,4,Vegetarian,Daily,Small,Low,Sometimes,Low,Batch Cooking,South Indian,Not aware,Winter,3.73
5,1,Vegetarian,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Fusion,Aware,Summer,1.36
3,2,Mixed,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Street Food,Somewhat aware,Summer,1.99
6,4,Non-Vegetarian,Daily,Medium,High,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Monsoon,4.2
5,4,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Chinese,Not aware,All year,3.24
2,1,Mixed,Weekly,Medium,High,Sometimes,High,Fresh Daily,Italian,Aware,Monsoon,0.43
5,1,Mixed,Weekly,Small,Medium,Sometimes,Low,Reheated,Fusion,Somewhat aware,Summer,1.73
5,2,Mixed,Weekly,Medium,Medium,Often,Medium,Reheated,Italian,Somewhat aware,Monsoon,3.62
3,3,Non-Vegetarian,Daily,Large,Medium,Sometimes,High,Fresh Daily,Street Food,Not aware,Monsoon,4.27
5,4,Vegetarian,Daily,Medium,Low,Often,Medium,Fresh Daily,Chinese,Not aware,Winter,3.75
6,1,Mixed,Bulk Buying,Small,High,Sometimes,Medium,Fresh Daily,Street Food,Aware,All year,1.44
5,1,Vegetarian,Bulk Buying,Small,Low,Never,Low,Fresh Daily,Italian,Not aware,All year,2.65
5,2,Vegetarian,Bulk Buying,Medium,Low,Often,Low,Batch Cooking,Indian,Not aware,Winter,4.52
4,4,Mixed,Bulk Buying,Medium,High,Often,Low,Batch Cooking,Fusion,Not aware,Monsoon,4.48
2,1,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Batch Cooking,Fusion,Not aware,Monsoon,3.19
5,2,Vegetarian,Weekly,Medium,Low,Never,Medium,Reheated,South Indian,Not aware,Winter,2.91
3,1,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Batch Cooking,Indian,Not aware,Summer,3.11
4,1,Mixed,Weekly,Small,Medium,Often,Low,Batch Cooking,South Indian,Somewhat aware,Winter,2.27
2,4,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Batch Cooking,Italian,Aware,Monsoon,3.16
2,1,Mixed,Daily,Medium,Low,Often,High,Fresh Daily,North Indian,Somewhat aware,All year,2.34
1,2,Non-Vegetarian,Weekly,Small,Medium,Never,Medium,Fresh Daily,Chinese,Somewhat aware,Winter,2.07
6,4,Vegetarian,Weekly,Small,Medium,Sometimes,Low,Reheated,Italian,Somewhat aware,Summer,3.4
1,3,Non-Vegetarian,Daily,Small,High,Often,High,Fresh Daily,North Indian,Somewhat aware,Winter,2.82
1,1,Mixed,Bulk Buying,Small,Low,Often,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,3.03
6,2,Mixed,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Street Food,Somewhat aware,Summer,2.89
4,4,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Winter,3.85
3,2,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Summer,1.98
5,3,Vegetarian,Weekly,Medium,High,Often,Medium,Fresh Daily,North Indian,Somewhat aware,Winter,2.27
3,3,Mixed,Bulk Buying,Small,Medium,Often,Medium,Batch Cooking,Indian,Somewhat aware,Winter,4.44
1,3,Vegetarian,Bulk Buying,Large,High,Sometimes,Low,Fresh Daily,Indian,Somewhat aware,Winter,1.24
5,1,Non-Vegetarian,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Chinese,Not aware,All year,2.76
2,4,Non-Vegetarian,Weekly,Medium,Medium,Often,High,Fresh Daily,South Indian,Somewhat aware,Winter,3.6
4,4,Vegetarian,Weekly,Large,Low,Sometimes,Medium,Fresh Daily,Italian,Aware,Monsoon,3.12
6,1,Mixed,Bulk Buying,Small,Low,Often,High,Batch Cooking,Chinese,Somewhat aware,All year,4.18
6,4,Mixed,Weekly,Large,Medium,Sometimes,Low,Batch Cooking,South Indian,Not aware,Winter,3.23
3,4,Vegetarian,Weekly,Small,Low,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Monsoon,3.07
5,3,Mixed,Daily,Large,Medium,Often,High,Reheated,Fusion,Somewhat aware,All year,3.4
4,2,Non-Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Fresh Daily,Chinese,Aware,All year,2.17
3,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Italian,Not aware,Winter,2.61
1,4,Non-Vegetarian,Daily,Medium,Medium,Often,Low,Batch Cooking,Street Food,Aware,All year,4.58
3,1,Vegetarian,Daily,Medium,Medium,Often,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,1.67
4,4,Mixed,Daily,Medium,Low,Never,High,Batch Cooking,Fusion,Not aware,Monsoon,4.25
6,4,Vegetarian,Daily,Small,Low,Never,Low,Reheated,Fusion,Somewhat aware,Summer,3.01
1,3,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,North Indian,Somewhat aware,Monsoon,2.04
5,2,Vegetarian,Weekly,Small,High,Sometimes,Low,Reheated,Chinese,Not aware,All year,1.77
6,3,Mixed,Weekly,Medium,Medium,Sometimes,High,Reheated,Street Food,Not aware,Summer,4.38
6,1,Mixed,Daily,Small,Medium,Never,Medium,Fresh Daily,Italian,Not aware,Winter,3.07
3,4,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Italian,Aware,Summer,3.43
1,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Fusion,Not aware,All year,1.74
2,1,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Winter,0.83
6,4,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Indian,Somewhat aware,Monsoon,4.07
6,3,Non-Vegetarian,Daily,Small,Medium,Often,Medium,Reheated,South Indian,Somewhat aware,Summer,4.52
4,3,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,Chinese,Not aware,All year,3.94
1,1,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Indian,Somewhat aware,Summer,1.01
1,4,Vegetarian,Bulk Buying,Small,Medium,Sometimes,Low,Batch Cooking,Indian,Not aware,Winter,3.69
3,3,Non-Vegetarian,Bulk Buying,Large,Low,Sometimes,Medium,Batch Cooking,Chinese,Somewhat aware,All year,3.69
4,4,Mixed,Daily,Large,Low,Never,Medium,Batch Cooking,Chinese,Somewhat aware,Winter,3.4
1,4,Vegetarian,Weekly,Medium,High,Sometimes,Low,Batch Cooking,Indian,Not aware,All year,2.46
5,1,Vegetarian,Weekly,Medium,Low,Never,Medium,Batch Cooking,Chinese,Not aware,All year,2.18
4,1,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Not aware,Winter,1.3
1,4,Vegetarian,Weekly,Medium,Low,Often,Medium,Fresh Daily,South Indian,Not aware,All year,3.35
1,3,Vegetarian,Daily,Large,Medium,Often,Medium,Batch Cooking,North Indian,Aware,Monsoon,2.33
3,2,Mixed,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Street Food,Not aware,Monsoon,3.06
5,2,Mixed,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Italian,Somewhat aware,Winter,2.34
5,3,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Medium,Batch Cooking,Chinese,Not aware,Monsoon,6.03
3,4,Vegetarian,Daily,Medium,Low,Sometimes,Low,Fresh Daily,Chinese,Somewhat aware,Monsoon,2.2
2,1,Non-Vegetarian,Weekly,Large,Medium,Never,Low,Reheated,North Indian,Somewhat aware,Winter,1.01
6,3,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Fresh Daily,Chinese,Aware,All year,2.46
3,4,Vegetarian,Daily,Medium,Medium,Sometimes,High,Reheated,Chinese,Not aware,Monsoon,3.11
2,2,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Fresh Daily,North Indian,Not aware,Winter,2.42
3,2,Vegetarian,Weekly,Medium,Low,Often,High,Reheated,Street Food,Aware,Monsoon,4.32
1,4,Vegetarian,Bulk Buying,Medium,High,Often,Medium,Reheated,Street Food,Not aware,All year,4.45
2,1,Non-Vegetarian,Weekly,Large,High,Often,High,Fresh Daily,Fusion,Not aware,Monsoon,2.61
4,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,All year,2.19
6,2,Vegetarian,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Fusion,Aware,Monsoon,2.7
5,4,Vegetarian,Daily,Medium,Medium,Never,High,Reheated,Chinese,Not aware,Summer,3.32
5,1,Vegetarian,Weekly,Large,Medium,Never,Medium,Fresh Daily,Fusion,Not aware,Summer,2.04
4,2,Mixed,Bulk Buying,Small,Medium,Never,Low,Reheated,North Indian,Somewhat aware,Winter,2.38
1,1,Vegetarian,Weekly,Large,Medium,Never,Medium,Fresh Daily,South Indian,Somewhat aware,All year,0.59
3,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Indian,Not aware,Winter,3.64
6,3,Vegetarian,Daily,Small,High,Often,Low,Reheated,Fusion,Not aware,All year,4.28
1,2,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Winter,1.31
6,2,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Fresh Daily,South Indian,Not aware,Summer,5.37
5,1,Mixed,Weekly,Medium,Medium,Sometimes,Low,Reheated,Street Food,Somewhat aware,Summer,1.94
2,4,Mixed,Daily,Medium,High,Never,Low,Fresh Daily,Chinese,Somewhat aware,Monsoon,1.15
5,3,Mixed,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Aware,Winter,1.44
6,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Chinese,Somewhat aware,Winter,2.85
1,2,Vegetarian,Weekly,Medium,High,Sometimes,High,Fresh Daily,Chinese,Somewhat aware,Monsoon,1.16
1,3,Vegetarian,Daily,Small,High,Often,Medium,Batch Cooking,Fusion,Somewhat aware,Winter,1.7
4,3,Non-Vegetarian,Weekly,Small,High,Never,Low,Reheated,South Indian,Not aware,Monsoon,1.82
6,2,Vegetarian,Weekly,Large,High,Sometimes,High,Batch Cooking,Fusion,Not aware,Monsoon,2.71
1,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Not aware,Monsoon,1.92
4,3,Mixed,Daily,Large,High,Sometimes,Low,Batch Cooking,Street Food,Not aware,Monsoon,3.55
1,3,Non-Vegetarian,Weekly,Medium,Medium,Often,High,Fresh Daily,Street Food,Not aware,Summer,4.67
4,3,Non-Vegetarian,Weekly,Large,Medium,Sometimes,High,Batch Cooking,Street Food,Not aware,Summer,3.63
4,1,Vegetarian,Weekly,Medium,Medium,Never,Low,Fresh Daily,Indian,Aware,Winter,0.3
1,2,Non-Vegetarian,Weekly,Large,Medium,Often,High,Batch Cooking,Chinese,Not aware,Monsoon,4.09
5,3,Mixed,Bulk Buying,Medium,Medium,Never,Medium,Fresh Daily,Fusion,Somewhat aware,Winter,2.63
6,4,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Monsoon,2.79
6,3,Mixed,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Italian,Not aware,Winter,2.81
1,2,Mixed,Weekly,Medium,Medium,Never,Low,Fresh Daily,Fusion,Not aware,Winter,1.44
2,3,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Batch Cooking,North Indian,Somewhat aware,Summer,3.06
2,1,Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Batch Cooking,Indian,Somewhat aware,Summer,1.08
3,1,Vegetarian,Weekly,Large,Medium,Often,High,Fresh Daily,North Indian,Aware,Summer,2.14
1,3,Mixed,Weekly,Small,Medium,Never,Medium,Fresh Daily,Indian,Not aware,Winter,1.83
6,4,Vegetarian,Weekly,Medium,Low,Sometimes,High,Fresh Daily,North Indian,Somewhat aware,Winter,3.95
5,4,Vegetarian,Daily,Medium,Medium,Never,Low,Fresh Daily,South Indian,Aware,Winter,3.44
5,3,Vegetarian,Weekly,Small,Low,Sometimes,Low,Reheated,Street Food,Somewhat aware,Monsoon,3.85
2,1,Non-Vegetarian,Weekly,Medium,Low,Never,Low,Fresh Daily,Italian,Not aware,Winter,1.85
1,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Fresh Daily,Street Food,Not aware,Winter,4.97
6,2,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Summer,3.38
2,2,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,Chinese,Not aware,Winter,2.99
4,4,Mixed,Weekly,Small,High,Sometimes,Medium,Fresh Daily,Chinese,Aware,Winter,2.24
6,3,Mixed,Daily,Small,Medium,Often,High,Batch Cooking,Indian,Not aware,All year,4.13
1,3,Mixed,Daily,Medium,Low,Often,High,Batch Cooking,Fusion,Not aware,Monsoon,3.25
1,2,Non-Vegetarian,Weekly,Large,Low,Sometimes,Low,Batch Cooking,Fusion,Somewhat aware,Winter,1.86
1,4,Mixed,Weekly,Small,Low,Sometimes,Medium,Batch Cooking,Street Food,Somewhat aware,Summer,2.63
1,2,Vegetarian,Daily,Medium,Medium,Often,Low,Batch Cooking,Chinese,Aware,Summer,2.54
1,3,Non-Vegetarian,Bulk Buying,Small,Medium,Often,Low,Batch Cooking,Chinese,Aware,Summer,4.11
5,4,Vegetarian,Daily,Medium,High,Sometimes,Medium,Fresh Daily,Street Food,Aware,All year,3.17
4,3,Vegetarian,Bulk Buying,Large,High,Sometimes,Low,Batch Cooking,Chinese,Aware,All year,2.17
6,1,Mixed,Daily,Medium,High,Often,Low,Fresh Daily,Italian,Not aware,Monsoon,2.14
5,2,Vegetarian,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,North Indian,Not aware,All year,2.09
6,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Street Food,Not aware,All year,3.96
2,4,Mixed,Daily,Medium,Low,Often,Low,Fresh Daily,Italian,Not aware,Winter,3.89
2,3,Non-Vegetarian,Daily,Small,Medium,Sometimes,Low,Fresh Daily,North Indian,Somewhat aware,Summer,1.71
6,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,Monsoon,3.04
2,3,Vegetarian,Weekly,Large,Medium,Never,Medium,Batch Cooking,South Indian,Not aware,Winter,2.61
1,3,Mixed,Daily,Large,Medium,Sometimes,Low,Fresh Daily,Chinese,Somewhat aware,Summer,1.6
5,2,Vegetarian,Daily,Medium,High,Often,Medium,Reheated,Fusion,Not aware,All year,3.31
5,2,Mixed,Weekly,Small,High,Never,Low,Fresh Daily,Fusion,Not aware,Summer,2.35
6,4,Non-Vegetarian,Weekly,Medium,High,Often,Low,Fresh Daily,Street Food,Somewhat aware,Summer,4.35
6,3,Mixed,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Street Food,Somewhat aware,Winter,3.45
1,1,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,Winter,1.86
5,3,Non-Vegetarian,Daily,Large,High,Sometimes,Medium,Batch Cooking,South Indian,Aware,Winter,2.11
6,3,Non-Vegetarian,Weekly,Small,Medium,Often,Low,Fresh Daily,Indian,Somewhat aware,Summer,3.74
5,3,Mixed,Daily,Medium,Medium,Often,Medium,Fresh Daily,North Indian,Somewhat aware,Monsoon,2.93
5,3,Vegetarian,Bulk Buying,Medium,Low,Often,Low,Batch Cooking,North Indian,Somewhat aware,Summer,3.42
6,4,Vegetarian,Bulk Buying,Small,High,Sometimes,Medium,Fresh Daily,South Indian,Not aware,All year,3.15
3,2,Non-Vegetarian,Bulk Buying,Small,Low,Never,High,Fresh Daily,Street Food,Not aware,Monsoon,4.75
1,2,Non-Vegetarian,Daily,Medium,Low,Never,Low,Fresh Daily,Italian,Somewhat aware,Monsoon,1.52
3,1,Non-Vegetarian,Weekly,Large,Medium,Often,Medium,Batch Cooking,Italian,Not aware,Monsoon,3.02
2,3,Non-Vegetarian,Bulk Buying,Large,Medium,Often,High,Batch Cooking,South Indian,Not aware,All year,4.49
1,2,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,2.33
1,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Not aware,Monsoon,2.23
5,3,Mixed,Weekly,Medium,Low,Often,Medium,Fresh Daily,Street Food,Somewhat aware,Monsoon,3.48
4,2,Vegetarian,Weekly,Small,High,Sometimes,Medium,Batch Cooking,North Indian,Not aware,Monsoon,2.15
4,2,Mixed,Bulk Buying,Small,Medium,Never,High,Reheated,Italian,Not aware,Summer,2.96
5,2,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Reheated,Chinese,Somewhat aware,All year,2.15
4,2,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Batch Cooking,Chinese,Not aware,Winter,2.8
4,1,Vegetarian,Weekly,Medium,Low,Often,Low,Batch Cooking,South Indian,Somewhat aware,All year,2.17
1,4,Vegetarian,Daily,Medium,Low,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,All year,2.3
6,1,Vegetarian,Bulk Buying,Large,High,Sometimes,Medium,Batch Cooking,Street Food,Somewhat aware,All year,2.66
3,2,Vegetarian,Weekly,Medium,Medium,Never,Low,Batch Cooking,Street Food,Somewhat aware,All year,2.66
1,3,Non-Vegetarian,Weekly,Medium,Low,Often,Medium,Batch Cooking,South Indian,Not aware,Monsoon,4.08
5,1,Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Monsoon,1.39
5,3,Mixed,Weekly,Large,Medium,Often,Medium,Fresh Daily,Indian,Aware,Summer,3.47
1,3,Mixed,Bulk Buying,Small,Medium,Sometimes,Low,Batch Cooking,Fusion,Somewhat aware,Winter,2.98
2,3,Non-Vegetarian,Weekly,Small,High,Never,High,Batch Cooking,North Indian,Somewhat aware,Summer,1.84
1,2,Vegetarian,Bulk Buying,Large,Low,Sometimes,High,Reheated,North Indian,Not aware,Summer,2.44
2,1,Vegetarian,Weekly,Medium,Medium,Sometimes,High,Fresh Daily,Fusion,Aware,Winter,1.21
1,4,Mixed,Daily,Large,High,Sometimes,Medium,Fresh Daily,Street Food,Somewhat aware,All year,2.27
5,2,Mixed,Weekly,Medium,Low,Often,Low,Fresh Daily,Street Food,Aware,All year,2.93
4,4,Non-Vegetarian,Daily,Medium,Low,Often,Low,Batch Cooking,Indian,Not aware,Monsoon,4.53
6,1,Non-Vegetarian,Daily,Small,Low,Never,High,Fresh Daily,North Indian,Not aware,Summer,3.15
5,1,Non-Vegetarian,Weekly,Medium,High,Sometimes,High,Batch Cooking,Street Food,Not aware,Winter,2.84
4,4,Non-Vegetarian,Daily,Large,Low,Often,High,Batch Cooking,Indian,Somewhat aware,Summer,4.11
4,4,Vegetarian,Daily,Medium,High,Sometimes,Low,Reheated,Chinese,Not aware,All year,3.25
1,4,Vegetarian,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Winter,2.15
1,4,Vegetarian,Weekly,Large,High,Never,High,Reheated,Fusion,Not aware,Monsoon,1.68
4,1,Vegetarian,Weekly,Medium,Medium,Never,Low,Reheated,North Indian,Somewhat aware,All year,1.46
1,4,Mixed,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,North Indian,Somewhat aware,All year,2.11
1,3,Mixed,Weekly,Small,Low,Sometimes,Medium,Reheated,Italian,Somewhat aware,All year,1.83
2,1,Mixed,Weekly,Medium,Low,Sometimes,Low,Reheated,Chinese,Not aware,Monsoon,1.65
6,1,Vegetarian,Daily,Small,Medium,Never,Low,Fresh Daily,Chinese,Not aware,Summer,2.92
3,4,Vegetarian,Weekly,Small,High,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Monsoon,1.98
5,2,Vegetarian,Weekly,Small,High,Never,Low,Fresh Daily,South Indian,Aware,Summer,2.04
3,4,Mixed,Weekly,Medium,Medium,Never,High,Batch Cooking,Street Food,Not aware,Winter,4.48
2,1,Non-Vegetarian,Daily,Medium,Medium,Often,Low,Fresh Daily,Italian,Aware,Summer,2.83
3,2,Non-Vegetarian,Daily,Small,Medium,Sometimes,Medium,Reheated,South Indian,Not aware,Summer,3.09
1,2,Non-Vegetarian,Daily,Medium,Medium,Never,Low,Fresh Daily,Street Food,Somewhat aware,Winter,2.27
5,2,Vegetarian,Daily,Medium,Low,Often,Low,Fresh Daily,North Indian,Not aware,Summer,3.07
2,3,Mixed,Bulk Buying,Medium,Low,Sometimes,Low,Reheated,South Indian,Not aware,Monsoon,3.85
3,4,Mixed,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Chinese,Somewhat aware,Monsoon,2.77
6,4,Vegetarian,Weekly,Medium,Low,Often,Medium,Reheated,North Indian,Somewhat aware,Winter,4.58
4,3,Vegetarian,Daily,Small,Medium,Sometimes,Medium,Batch Cooking,Street Food,Somewhat aware,Monsoon,3.59
3,1,Mixed,Bulk Buying,Small,Medium,Often,Low,Fresh Daily,North Indian,Somewhat aware,Summer,3.13
4,4,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,Low,Fresh Daily,Indian,Aware,Winter,4.02
5,3,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Chinese,Not aware,Monsoon,3.4
2,3,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,Chinese,Not aware,All year,2.04
4,3,Vegetarian,Daily,Medium,Medium,Never,High,Reheated,Fusion,Somewhat aware,Summer,2.39
6,4,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Aware,Winter,2.95
4,4,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Monsoon,3.89
3,3,Mixed,Weekly,Large,Low,Never,Low,Fresh Daily,Indian,Aware,Summer,2.16
1,3,Non-Vegetarian,Bulk Buying,Large,High,Sometimes,Low,Fresh Daily,North Indian,Not aware,Summer,2.52
2,3,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Italian,Somewhat aware,Winter,2.21
6,2,Vegetarian,Daily,Small,Medium,Often,Low,Fresh Daily,North Indian,Somewhat aware,Winter,3.22
4,2,Vegetarian,Bulk Buying,Small,Medium,Often,Low,Batch Cooking,Chinese,Not aware,Monsoon,4.69
2,3,Vegetarian,Bulk Buying,Small,Low,Often,Low,Reheated,Chinese,Somewhat aware,Winter,4.0
3,1,Mixed,Daily,Large,High,Often,Medium,Batch Cooking,Fusion,Somewhat aware,Monsoon,0.74
4,2,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Reheated,Indian,Not aware,Winter,2.19
4,3,Vegetarian,Weekly,Large,Low,Never,Low,Batch Cooking,South Indian,Aware,Monsoon,1.73
5,4,Mixed,Bulk Buying,Small,Medium,Often,Low,Reheated,Chinese,Not aware,All year,5.45
2,3,Non-Vegetarian,Daily,Large,Low,Often,Medium,Fresh Daily,Street Food,Somewhat aware,Winter,3.82
4,2,Mixed,Daily,Small,High,Sometimes,High,Batch Cooking,Street Food,Not aware,Monsoon,2.24
3,2,Non-Vegetarian,Daily,Small,Medium,Often,Medium,Fresh Daily,South Indian,Aware,Monsoon,2.41
6,3,Vegetarian,Bulk Buying,Medium,High,Often,Medium,Fresh Daily,Fusion,Aware,Summer,2.88
1,3,Vegetarian,Weekly,Small,Medium,Often,Low,Fresh Daily,Italian,Aware,All year,2.17
1,1,Non-Vegetarian,Daily,Small,Low,Never,Low,Fresh Daily,Chinese,Not aware,Summer,2.04
3,3,Mixed,Weekly,Large,Low,Sometimes,High,Batch Cooking,Indian,Not aware,Summer,2.86
4,2,Mixed,Daily,Small,High,Sometimes,Low,Batch Cooking,Chinese,Not aware,Monsoon,2.08
5,3,Non-Vegetarian,Weekly,Medium,High,Never,Low,Fresh Daily,Italian,Not aware,Summer,2.83
3,4,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Indian,Aware,All year,3.0
6,4,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,High,Fresh Daily,Fusion,Not aware,Winter,4.87
3,3,Mixed,Weekly,Small,Medium,Often,Medium,Fresh Daily,Chinese,Not aware,All year,4.12
1,2,Mixed,Daily,Small,Low,Often,Low,Fresh Daily,South Indian,Not aware,Monsoon,2.69
1,2,Vegetarian,Daily,Medium,Medium,Often,Medium,Batch Cooking,Chinese,Not aware,Summer,3.2
6,1,Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,North Indian,Not aware,All year,1.79
1,4,Non-Vegetarian,Weekly,Medium,Low,Never,Medium,Reheated,Chinese,Somewhat aware,Winter,3.25
6,4,Mixed,Weekly,Medium,Low,Never,Low,Batch Cooking,Fusion,Somewhat aware,Summer,3.13
2,4,Non-Vegetarian,Weekly,Small,High,Never,Low,Fresh Daily,Street Food,Not aware,Summer,4.09
1,2,Mixed,Daily,Medium,Low,Sometimes,Low,Reheated,Italian,Somewhat aware,All year,1.28
2,2,Mixed,Daily,Medium,Medium,Often,Medium,Fresh Daily,Fusion,Somewhat aware,Monsoon,1.98
4,4,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Indian,Not aware,Winter,2.65
3,3,Mixed,Weekly,Medium,Low,Never,Medium,Batch Cooking,North Indian,Aware,All year,1.96
5,3,Vegetarian,Weekly,Large,Low,Never,High,Reheated,Fusion,Not aware,Winter,3.7
4,2,Vegetarian,Weekly,Large,Medium,Never,Medium,Batch Cooking,Street Food,Somewhat aware,Summer,1.62
3,2,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Chinese,Not aware,All year,3.15
4,3,Mixed,Daily,Medium,Medium,Often,Medium,Reheated,Italian,Somewhat aware,Summer,2.68
6,4,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Fresh Daily,Italian,Not aware,Summer,3.79
3,2,Vegetarian,Bulk Buying,Medium,High,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Monsoon,1.27
1,4,Vegetarian,Weekly,Medium,High,Never,High,Fresh Daily,Italian,Somewhat aware,Summer,1.84
